name,display,manufactor,needed,forbidden,highscore
Mustang,Mustang,Gottlieb 1977,"Mustang,Gottlieb",,Mustang_77VPX.txt
Mustang LE,Mustang LE,Stern 2014,"mustang,stern",,
Mystery Castle,Mystery Castle,Alvin G 1993,,,
Mystic,Mystic,Bally 1980,,,
Nags,Nags,Williams 1960,"Nags,Williams,1960",,
Nairobi,Nairobi,Maresa 1966,"Nairobi,Maresa,196",,nairobi.txt
Nascar,Nascar,Stern 2005,,,
National Lampoons X-Mas Vacation,National Lampoons - X-Mas Vacation,Original 2019,,,
Nautilus,Nautilus,Playmatic 1984,"Nautilus,Playmatic,1984",,
NBA,NBA,Stern 2009,"nba,stern,2009","fastbreak,pinball",
NBA Fastbreak,NBA Fastbreak,Bally 1997,,,
Need for Speed,Need for Speed,Original 2018,,,
Nemesis,Nemesis,Peyper 1986,,,
Neptune,Neptune,Gottlieb 1978,"Neptune,Gottlieb,1978",,
New Wave,New Wave,Bell Games 1985,,,
New World,New World,Playmatic 1976,"New,World,Playmatic,1976",,
New York,New York,Gottlieb 1976,"New,York,Gottlieb,1976",,NewYork_76VPX.txt
NFL,NFL,Stern 2001,,original,
NFL Rams,NFL<br>Rams Edition,Original 2023,"nfl,rams",stern,
NFL Patriots,NFL<br>Patriots Edition,Original 2023,"nfl,patriots",stern,
NFL Packers,NFL<br>Packers Edition,Original 2023,"nfl,packers",stern,
NFL Cowboys,NFL<br>Cowboys Edition,Original 2023,"nfl,cowboys",stern,
NFL 49ers,NFL<br>49ers Edition,Original 2023,"nfl,49ers",stern,
NFL Seahawks,NFL<br>Seahawks Edition,Original 2023,"nfl,seahawks",stern,
NFL Ravens,NFL<br>Ravens Edition,Original 2023,"nfl,ravens",stern,
NFL Saints,NFL<br>Saints Edition,Original 2023,"nfl,saints",stern,
NFL Steelers,NFL<br>Steelers Edition,Original 2023,"nfl,steelers",stern,
NFL Texans,NFL<br>Texans Edition,Original 2023,"nfl,texans",stern,
NFL Vikings,NFL<br>Vikings Edition,Original 2023,"nfl,vikings",stern,
NFL Raiders,NFL<br>Raiders Edition,Original 2023,"nfl,raiders",stern,
NFL Titans,NFL<br>Titans Edition,Original 2023,"nfl,titans",stern,
NFL Jets,NFL<br>Jets Edition,Original 2023,"nfl,jets",stern,
NFL Panthers,NFL<br>Panthers Edition,Original 2023,"nfl,panthers",stern,
NFL Lions,NFL<br>Lions Edition,Original 2023,"nfl,lions",stern,
NFL Colts,NFL<br>Colts Edition,Original 2023,"nfl,colts",stern,
NFL Commanders,NFL<br>Commanders Edition,Original 2023,"nfl,commanders",stern,
NFL Eagles,NFL<br>Eagles Edition,Original 2023,"nfl,eagles",stern,
NFL Dolphins,NFL<br>Dolphins Edition,Original 2023,"nfl,dolphins",stern,
NFL Falcons,NFL<br>Falcons Edition,Original 2023,"nfl,falcons",stern,
NFL Giants,NFL<br>Giants Edition,Original 2023,"nfl,giants",stern,
NFL Jaguars,NFL<br>Jaguars Edition,Original 2023,"nfl,jaguars",stern,
NFL Buccaneers,NFL<br>Buccaneers Edition,Original 2023,"nfl,buccaneers",stern,
NFL Chargers,NFL<br>Chargers Edition,Original 2023,"nfl,chargers",stern,
NFL Cardinals,NFL<br>Cardinals Edition,Original 2023,"nfl,cardinals",stern,
NFL Chiefs,NFL<br>Chiefs Edition,Original 2023,"nfl,chiefs",stern,
NFL Browns,NFL<br>Browns Edition,Original 2023,"nfl,browns",stern,
NFL Bills,NFL<br>Bills Edition,Original 2023,"nfl,bills",stern,
NFL Bengals,NFL<br>Bengals Edition,Original 2023,"nfl,bengals",stern,
NFL Broncos,NFL<br>Brocos Edition,Original 2023,"nfl,broncos",stern,
NFL Bears,NFL<br>Bears Edition,Original 2023,"nfl,bears",stern,
Night Moves,Night Moves,Internationsl Concepts 1989,,,
Night Rider,Night Rider,Bally 1976,"Night,Rider,Bally,1976",,
Nightmare Before Christmas,The Nightmare Before Christmas,Original 2024,,,
Night of the Living Dead,Night of the Living Dead '68,Original 2018,"Night,Living,Dead",,NOTLD68VPX.txt
Nine Ball,Nine Ball,Stern 1980,,,
Nip-it,Nip-it,Bally 1973,,,NipIt_73VPX.txt
Nitro Ground Shaker,Nitro Ground Shaker,Bally 1980,,,
No Fear Dangerous Sports,No Fear: Dangerous Sports,Williams 1995,"no,fear",,
No Good Gofers,No Good Gofers,Williams 1997,,,
NOBS,NOBS,Original 2016,"NOBS,Original,2016",,
North Pole,North Pole,Playmatic 1967,"North,Pole,Playmatic,1967",,northpole.txt
North Star,North Star,Gottlieb 1964,"North,Star,Gottlieb,1964",,NorthStar_64VPX.txt
Now,Now,Gottlieb 1971,"now,gottlieb,1971",,Now_71VPX.txt
Nudge-It,Nudge-It,Gottlieb 1990,"Nudge-It,Gottlieb,1990",,
Nudgy,Nudgy,Bally 1947,,,Nudgy_1947_v2.txt
Nugent,Nugent,Stern 1978,"Nugent,Stern,1978",,
Nuka Cola,Nuka Cola - Pop A Top Pinball,Original 2024,,,
O Brother Where Art Thou,O Brother Where Art Thou,Zoss Pinball 2021,,,OBWAT_2021.txt
O Gaucho,O Gaucho,LTD 1975,"O,Gaucho,LTD,1975",,ogaucho.txt
Oba-Oba,Oba-Oba,Taito do Brasil 1978,"Oba-Oba,Taito,do,Brasil,1978",,
Odin Deluxe,Odin Deluxe,Sonic 1985,"Odin,Deluxe,Sonic,1985",,
Odisea Paris-Dakar,Odisea Paris-Dakar,Peyper 1978,"odisea,peyper",,
Old Chicago,Old Chicago,Bally 1976,"old,chicago,bally",,OldChicago_75VPX.txt
Old Coney Island,Old Coney Island,Gameplan 1979,,,
Olympics,Olympics,Gottlieb 1962,"Olympics,Gottlieb,1962",,Olympics_62VPX.txt
Olympics,Olympics,Chicago Coin 1975,"Olympics,Chicago,Coin,1975",,
Olympus,Olympus,Juegos Populares 1986,,wrath,
On Beam,On Beam,Bally 1969,,,onbeam.txt
Once Upon A Time In The West,Once Upon A Time<br>In The West,Original 2019,,,
One Piece,One Piece,Original 2023,,,
Op-Pop-Pop,Op-Pop-Pop,Bally 1969,,,
Operation Thunder,Operation: Thunder,Gottlieb 1992,"operation,thunder",,
Orbit,Orbit,Gottlieb 1971,"Orbit,Gottlieb,1971",,Orbit_71VPX.txt
Orbitor 1,Orbitor 1,Stern 1982,,,
Out of Sight,Out of Sight,Gottlieb 1974,"Out,of,Sight,Gottlieb,1974",,
Outer Space,Outer Space,Gottlieb 1972,"Outer,Space,Gottlieb,1972",,OuterSpace_72VPX.txt
OXO,OXO,Williams 1973,"OXO,Williams,1973",,OXO_1973_v2.txt
Pabst Can Crusher,Pabst Can Crusher,Stern 2016,"Pabst,Can,Crusher,Stern,2016",,
Paddock,Paddock,Williams 1969,"Paddock,Williams,1969",,Paddock_1969.txt
Palace Guard,Palace Guard,Gottlieb 1968,"Palace,Guard,Gottlieb,1968",,
Panthera,Panthera,Gottlieb 1980,,,
Papa Smurf,Papa Smurf,Original JP,,,papasmurf.txt
Paradise,Paradise,Gottlieb 1965,,,
Paragon,Paragon,Bally 1979,,,
Party Animal,Party Animal,Bally 1987,,,
Party Zone,The Party Zone,Bally 1991,"party,zone",,
Pat Hand,Pat Hand,Williams 1975,,,PatHand_75VPX.txt
Paul Bunyan,Paul Bunyan,Gottlieb 1968,,,
PDC World Darts,PDC World Darts,Original 2020,,,
Pennant Fever,Pennant Fever,Williams 1984,,,
PentHouse,PentHouse,Pinball Dreams 2008,,,
Perry Rhodan,Perry Rhodan,Original 2024,"Perry,Rhodan,Original",,
Petaco,Petaco,Juegos Populares 1984,"petaco,1984",,
Petaco 2,Petaco 2,Juegos Populares 1985,"petaco,1985",,
Phantom of the Opera,Phantom of the Opera,Data East 1990,"phantom,opera",,
Pharaoh,Pharaoh,Williams 1981,,"dead,rise",
Pharaoh - Dead Rise,Pharaoh - Dead Rise,Original 2019,"pharaoh,dead,rise",,
Phase II,Phase II,J. Esteban 1975,"Phase,II,Esteban,1975",,
Phoenix,Phoenix,Williams 1978,"Phoenix,Williams",,
Pin-Up,Pin-Up,Gottlieb 1975,"Pin,Up,Gottlieb,1975",,
Pinball Champ '82,Pinball Champ '82,Zaccaria 1982,"pinball,champ,82",,
Pinball Lizard,Pinball Lizard,GamePlan 1980,"Pinball Lizard,Game Plan,1980",,
Pinball Magic,Pinball Magic,Capcom 1995,,the,
Pinball Pool,Pinball Pool,Gottlieb 1979,,,
Pinbot,Pinbot,Williams 1986,pinbot,"machine,bride",
Pink Floyd,Pink Floyd,Original,,,
Pink Panther,Pink Panther,Gottlieb 1981,,,
Pioneer,Pioneer,Gottlieb 1976,"Pioneer,Gottlieb,1976",,
Pirate Gold,Pirate Gold,Chicago Coin 1969,"pirate,gold,1969",,PirateGold_1969_v2.05.txt
Pirates Life The Revenge of Cecil Hoggleston,Pirate's Life<br/>The Revenge of Cecil Hoggleston,Original 2024,"pirate,life,2024,Revenge ",,
Pirates Life Under A Black Flag,Pirate's Life<br/>Under A Black Flag,Original 2024,"pirate,life,2024,Black,Flag",,
Pirates of the Caribbean,Pirates of the Caribbean,Stern 2006,,,
Pistol Poker,Pistol Poker,Alvin G. and Company 1993,,,
Pit Stop,Pit Stop,Williams 1968,,,pitstop.txt
Pizza Time,Pizza Time,OrbitalPin 2020,"Pizza,Time,OrbitalPin,2020",,
Play Pool,Play Pool,Gottlieb 1972,,,
Playball,Playball,Gottlieb 1971,"Playball,Gottlieb,1971",,Playball_71VPX.txt
Playboy,Playboy,Bally 1978,,"stern,Anniversary",
Playboy,Playboy,Stern 2002,,"bally,Anniversary",
Playboy 35th Anniversary,Playboy - 35th Anniversary,Data East 1989,"Playboy,Anniversary",,
Playmate Limited Edition,Playmate - Limited Edition,Original 2020,"Playmate,Limited,Edition,Original,2020",,
PlayMates,PlayMates,Gottlieb 1968,"PlayMates,Gottlieb,1968",,
Pokemon Pinball,Pokemon Pinball,Original 2016,,,
Pokerino,Pokerino,Williams 1978,"Pokerino,Williams",,
Polar Explorer,Polar Explorer,Taito 1983,,,
Pole Position,Pole Position,Sonic 1987,,,
Police Academy,Police Academy,Original 2019,,,
Police Force,Police Force,Williams 1989,,,
Polo,Polo,Gottlieb 1970,"Polo,Gottlieb,1970",,Polo_70VPX.txt
Poltergeist,Poltergeist,Original 2022,,,
Pompeii,Pompeii,Williams 1978,"Pompeii,Williams,1978",,
Pool Sharks,Pool Sharks,Bally 1990,,,
Pop-A-Card,Pop-A-Card,Gottlieb 1972,"Pop,Card,Gottlieb,1972",,PopACard_71VPX.txt
Popeye Saves the Earth,Popeye Saves the Earth,Bally 1994,,,
Poseidon,Poseidon,Gottlieb 1978,"Poseidon,Gottlieb,1978",,Poseidon_78VPX.txt
Post Time,Post Time,Williams 1969,,,PostTime_1969_v2.txt
Power Play,Power Play,Bally 1977,"Power,Play,Bally,1977",,
Predator,Predator,Original 2019,,,
Primus,Primus,Stern 2018,"Primus,Stern,2018",,
Prison Break,Prison Break,Original 2018,,,
Pro Football,Pro Football,Gottlieb 1973,,,ProFootball_73VPX_2.txt
Pro Pool,Pro Pool,Gottlieb 1973,,,ProPool_73VPX.txt
Professional Pinball Challenger I,Professional Pinball: Challenger I,Professional Pinball 1981,"Professional,Pinball,Challenger,I,1981",,
Professional Pinball Challenger V,Professional Pinball: Challenger V,Professional Pinball 1981,"Professional,Pinball,Challenger,V,1981",,
Prospector,Prospector,Sonic 1977,"Prospector,Sonic,1977",,Prospector_77VPX.txt
Psychedelic,Psychedelic,Gottlieb 1970,"Psychedelic,Gottlieb,1970",,
Punch-Out,Punch-Out,Original 2025,"punch,out,2025",,
Punchy the Clown,Punchy the Clown,Alvin G 1993,,,
Punk!,Punk!,Gottlieb 1982,"Punk,Gottlieb,1982",,
Punk Park,Punk Park,Original 2025,,,
Purge,The Purge,Original 2023,,,
Putin Vodka Mania,Putin Vodka Mania,Original 2023,,,
Pyramid,Pyramid,Gottlieb 1978,"Pyramid,Gottlieb,1978",,
Q-bert's Quest,Q-bert's Quest,Gottlieb 1983,q-bert,qbert,
Q-bert's Quest,Q-bert's Quest,Gottlieb 1983,qbert,q-bert,
Queen of Hearts,Queen of Hearts,Gottlieb 1952,,,QueenOfHearts_52VPX.txt
Quick Draw,Quick Draw,Gottlieb 1975,"Quick,Draw,Gottlieb,1975",,
Quicksilver,Quicksilver,Stern 1980,,,
Quijote,Quijote,Juegos Populares 1987,,,
Rack Em Up,Rack Em Up,Gottlieb 1983,,,
Rack-A-Ball,Rack A Ball,Gottlieb 1962,"Rack,A,Ball,Gottlieb,1962",,RackABall_62VPX.txt
Radical,Radical,Bally 1990,,bmx,
Raid,Raid,Playmatic 1984,"Raid,Playmatic,1984",,
Rainbow,Rainbow,Gottlieb 1956,"Rainbow,Gottlieb,1956",,Rainbow_56VPX.txt
Rally,Rally,Taito 1980,,tornado,
Rambo NES Contra Mod,Rambo NES Contra Mod,Gottlieb 1986,"Rambo,Gottlieb,1986",,
Ramones,Ramones,Original 2021,"Ramones,Original,2021",,
Rancho,Rancho,Gottlieb 1965,"Rancho,Gottlieb,1965",,Rancho_65VPX.txt
Rancho,Rancho,Williams 1976,"Rancho,Williams,1976",,Rancho_76VPX.txt
Rat Fink,Rat Fink,Original 2015,,,
Raven,Raven,Gottlieb 1986,,,
Rawhide,Rawhide,Stern 1977,,,
Re-Animator,Re-Animator,Original 2022,"Re-Animator,Original,2022",,
Ready Aim Fire,Ready Aim Fire,Gottlieb 1983,,,
Red Ted Road Show,Red and Ted's Road Show,Williams 1994,,,
Red Sonja,Red Sonja,Original 2019,,,
Rescue 911,Rescue 911,Gottlieb 1994,,,
Rey de Diamantes,Rey de Diamantes,Petaco 1967,"Rey,de,Diamantes,Petaco,1967",,
Rick and Morty,Rick and Morty,Original 2019,,,
Rider's Surf,Rider's Surf,Jocmatic 1986,"Rider,Surf,Jocmatic,1986",,
Ripley's Believe It or Not!,Ripley's Believe It or Not!,Stern 2004,"Ripley,Believe,Not",,
Riverboat Gambler,Riverboat Gambler,Williams 1990,,,
Ro Go,Ro Go,Bally 1974,"Ro,Go,Bally,1974",,
Road Kings,Road Kings,Williams 1986,,,
Road Race,Road Race,Gottlieb 1969,"Road,Race,Gottlieb,1969",,RoadRace_69VPX.txt
Road Runner,Road Runner,Atari 1979,,,
Robo-War,Robo-War,Gottlieb 1988,,,
Robocop,Robocop,Data East 1989,,,
Robocop 3,Robocop 3,Original 2018,,,
Robot,Robot,Zaccaria 1985,,,
Robots Invasion,Robots Invasion,Original 2024,,,
Rock,Rock,Gottlieb 1985,"Rock,Gottlieb,1985",,
Rock,Rock,Premier 1985,"Rock,premier,1985",,
Rock Star,Rock Star,Gottlieb 1978,"rock,star,gottlieb,1978",,
Rocket III,Rocket III,Bally 1967,"Rocket,Bally,1967",,RocketIII_67VPX.txt
Rockmakers,Rockmakers,Bally 1968,"Rockmakers,Bally,1968",,
Rocky,Rocky,Gottlieb 1982,,"bullwinkle,TKO",
Rocky TKO Tribute,Rocky TKO Tribute,Original 2021,"rocky,tko",,
Roller Coaster,Roller Coaster,Gottlieb 1971,"Roller,Coaster,Gottlieb,1971",,RollerCoaster_71VPX.txt
Roller Derby,Roller Derby,Bally 1960,,,
Roller Disco,Roller Disco,Gottlieb 1980,,,
RollerCoaster Tycoon,RollerCoaster Tycoon,Stern 2002,,,
Rollergames,Rollergames,Williams 1990,,,
Rolling Stones,Rolling Stones,Bally 1980,"rolling,stones,bally",,
Rolling Stones,The Rolling Stones,Stern 2011,"rolling,stones,stern",,
Roman Victory,Roman Victory,Taito do Brasil 1978,,,
Royal Flush,Royal Flush,Gottlieb 1976,"Royal,Flush,Gottlieb,1976",,
Royal Flush Deluxe,Royal Flush Deluxe,Gottlieb 1983,"Royal,Flush,Deluxe,Gottlieb,1983",,
Royal Guard,Royal Guard,Gottlieb 1968,"Royal,Guard,Gottlieb,1968",,RoyalGuard_70VPX.txt
Royal Pair,Royal Pair,Gottlieb 1974,"Royal,Pair,Gottlieb,1974",,
Royal-Flush-Deluxe,Royal-Flush-Deluxe,Gottlieb 1983,,,
Running Horse,Running Horse,Inder 1976,,,runninghorse.txt
Safe Cracker,Safe Cracker,Bally 1996,"safe,cracker",,
San Francisco,San Francisco,Williams 1964,,,SanFrancisco_64VPX.txt
Sands of the Aton,JP's Sands of the Aton,Original 2023,,,
Satin Doll,Satin Doll,Williams 1975,"Satin,Doll,Williams,1975",,SatinDoll_75VPX.txt
Scared Stiff,Scared Stiff,Bally 1996,,,
Scarface,Scarface,Original,,,
Schuss,Schuss,Rally 1968,"Schuss,Rally,1968",,schuss.txt
Scooby Doo and KISS,Scooby Doo! and KISS Rock n' Roll Mystery,Original 2015,,,
Scooby Doo,Scooby-Doo!,Original 2022,,KISS,
Scorpion,Scorpion,Williams 1980,,,
Scramble,Scramble,Tecnoplay 1987,"scramble,tecnoplay",,
Scuba,Scuba,Gottlieb 1970,"Scuba,Gottlieb,1970",,Scuba_70VPX.txt
Sea Ray,Sea Ray,Bally 1971,"Sea,Ray,Bally,1971",,
Seinfeld,Seinfeld,Original 2021,,,
Seawitch,Seawitch,Stern 1980,,,
Secret Agent,Secret Agent,Original 2024,,,
Secret Service,Secret Service,Data East 1988,,,
Senna Prototype Edition,Senna - Prototype Edition,Original 2020,"senna,prototype",,
Serious Sam II,Serious Sam II,Original 2019,"serious,sam",pinball,
Serious Sam Pinball,Serious Sam Pinball,Original 2017,"serious,sam,pinball",2019,
Seven Winner,Seven Winner,Inder 1973,"Seven,Winner,Inder",,sevenwinner.txt
Sexy Girl,Sexy Girl,Arkon 1980,,,
Shadow,The Shadow,Bally 1994,,,
Shangri-La,Shangri La,Williams 1967,"Shangri,La,Williams,1967",,ShangriLa_67VPX.txt
Shaq Attaq,Shaq Attaq,Gottlieb 1995,,,
Shark,Shark,Taito 1982,,"pool,shootout",
Sharkeys Shootout,Sharkeys Shootout,Stern 2000,shootout,,
Shamrock,Shamrock,Inder 1977,"Inder,shamrock",,shamrock4.txt
Sharp Shooter II,Sharp Shooter II,Game Plan 1983,"Sharp,Shooter,1983",,
Sharpshooter,Sharpshooter,Game Plan 1979,"Sharpshooter,1979",,
Sheriff,Sheriff,Gottlieb 1971,"Sheriff,Gottlieb,1971",,Sheriff_71VPX.txt
Ship Ahoy,Ship Ahoy,Gottlieb 1976,"Ship,Ahoy,Gottlieb,1976",,
Ship-Mates,Ship-Mates,Gottlieb 1964,"Ship,Mates,Gottlieb,1964",,ShipMates_64VPX.txt
Shock,Shock,Taito do Brasil 1979,"Shock,Taito,do,Brasil,1979",,
Shooting the Rapids,Shooting The Rapids,Zaccaria 1979,,,
Short Circuit,Short Circuit,Original 2024,,,
Shovel Knight,Shovel Knight,Original 2017,,,
Shrek,Shrek,Stern 2008,,,
Shuffle Inn,Shuffle Inn,Williams 1989,"Shuffle,Inn,Williams,1989",,
Silver Slugger,Silver Slugger,Gottlieb 1990,,,
SilverBall Mania,SilverBall Mania,Bally 1980,"silver,ball,mania",,
Simpsons,The Simpsons,Data East 1990,simpsons,"party, treehouse",
Simpsons Pinball Party,The Simpsons - Pinball Party,Stern 2003,"simpsons,party,stern",treehouse,
Simpsons Treehouse,The Simpsons - Treehouse of Horror,Stern 2003,"simpsons,treehouse,stern",,
Sinbad,Sinbad,Gottlieb 1978,,,
Sing Along,Sing Along,Gottlieb 1967,"Sing,Along,Gottlieb,1967",,SingAlong_67VPX.txt
Sir Lancelot,Sir Lancelot,Peyper 1994,"Sir,Lancelot,Peyper,1994",,
Sittin Pretty,Sittin' Pretty,Gottlieb 1958,"Sittin,Pretty,Gottlieb,1958",,
Six Million Dollar Man,Six Million Dollar Man,Bally 1978,"Six,Million,Dollar,Man,Bally,1978",,
Skate and Destroy,Skate and Destroy,Original 2019,,,
Skateball,Skateball,Bally 1980,,,
Skateboard,Skateboard,Inder 1980,,,
Skipper,Skipper,Gottlieb 1969,"Skipper,Gottlieb,1969",,Skipper_69VPX.txt
Sky Jump,Sky Jump,Gottlieb 1974,"Sky,Jump,Gottlieb,1974",,SkyJump_74VPX.txt
Sky Kings,Sky Kings,Bally 1974,"Sky,Kings,Bally,1974",,
Sky-line,Sky-line,Gottlieb 1965,"Sky,line,Gottlieb,1965",,skyline.txt
Skyway,Skyway,Williams 1954,,,Skyway_1954_v2.txt
Skylab,Skylab,Williams 1974,,,Skylab_74VPX.txt
Slayer,HauntFreak's Slayer,Original 2022,,,
Slick Chick,Slick Chick,Gottlieb 1963,"Slick,Chick,Gottlieb,1963",,SlickChick_63VPX.txt
Smart Set,Smart Set,Williams 1969,"Smart,Set,Williams,1969",,
Smurfette,Smurfette,Original 2016,"Smurfette,Original,2016",,smurfette.txt
Snake Machine,Snake Machine,Taito 1981,,,
Snow Derby,Snow Derby,Gottlieb 1970,"Snow,Derby,Gottlieb,1970",,SnowDerby_70VPX.txt
Snow Queen,Snow Queen,Gottlieb 1970,"Snow,Queen,Gottlieb,1970",,
Snowman - Raymond Briggs,The Snowman - Raymond Briggs,Original 2019,,gottlieb,
Soccer,Soccer,Gottlieb 1975,"Soccer,Gottlieb,1975",,
Soccer,Soccer,Williams 1964,"Soccer,Williams,1964",,Soccer_64VPX.txt
Solar City,Solar City,Gottlieb 1977,"Solar,City,Gottlieb,1977",,SolarCity_76VPX.txt
Solar Fire,Solar Fire,Williams 1981,,,
Solar Ride,Solar Ride,Gottlieb 1979,"Solar,Ride,Gottlieb",,
Solar Ride,Solar Ride,Electromatic 1982,"Solar,Ride,Electromatic",,
Solar Wars,Solar Wars,Sonic 1986,,,
Solids N Stripes,Solids N Stripes,Williams 1971,"Solids,Stripes,Williams,1971",,SolidsNStripes_71VPX.txt
Solitaire,Solitaire,Gottlieb 1967,"Solitaire,Gottlieb,1967",,
Sonic The Hedgehog,Sonic The Hedgehog,Brendan Balley 2005,,,
Sons of Anarchy,Sons of Anarchy,Original 2019,,,
Sopranos,The Sopranos,Stern 2005,sopranos,,
Sorcerer,Sorcerer,Williams 1985,,,
Soul Reaver,Soul Reaver,Original 2019,,,
Sound Stage,Sound Stage,Chicago Coin 1976,,,SoundStage.txt
South Park,South Park,Sega 1999,,,
Space Cadet,JP's Space Cadet,Original 2021,,Galaxy,
Space Cadet,Space Cadet,Microsoft 1995,"Space,Cadet,Microsoft,1995",,
Space Cadet Galaxy Edition,JP's Space Cadet: Galaxy Edition,Original 2025,"Space,Cadet,Galaxy",,
Space Gambler,Space Gambler,Playmatic_1978,,,
Space Invaders,Space Invaders,Bally 1980,,,
Space Jam,Space Jam,Sega 1996,,,
Space Mission,Space Mission,Williams 1976,,,SpaceMission_76VPX.txt
Space Oditty,Space Oditty,Original 2022,,,
Space Odyssey,Space Odyssey,Williams 1976,,,SpaceOdyssey_76VPX.txt
Space Orbit,Space Orbit,Gottlieb 1972,"Space,Orbit,Gottlieb,1972",,SpaceOrbit_72VPX.txt
Space Patrol,Space Patrol,Tatio Do Brazil 1982,,,
Space Ramp,Space Ramp,Original 2020,,,
Space Raiders,Space Raiders,Atari 1978,"Space,Raiders","Shuttle,Orbit",
Space Rider,Space Rider,Geiger-Automatenbau 1980,,,
Space Shuttle,Space Shuttle,Mecatronics 1984,"space,shuttle",williams,
Space Shuttle,Space Shuttle,Williams 1984,"space,shuttle","mecatronics,brasil",
Space Station,Space Station,Williams 1987,,,
Space Time,Space Time,Bally 1972,"Space,Time,Bally,1972",,
Space Walk,Space Walk,Gottlieb 1979,"Space,Walk,Gottlieb,1979",,
Spanish Eyes,Spanish Eyes,Williams 1972,,,
Speakeasy,Speakeasy,Bally 1982,"Speakeasy,bally",,
Speakeasy,Speakeasy,Playmatic 1977,"Speakeasy,playmatic",,PlaymaticSpeakeasy.txt
Special Force,Special Force,Bally 1986,,,
Spectrum,Spectrum,Bally 1982,,,
Speed Test,Speed Test,Tatio Do Brazil 1982,,,
Spider-Man,Spider-Man,Stern 2007,"spider,man","amazing,vault",
Spider-Man Vault Edition,Spider-Man - Vault Edition,Stern 2016,"spider,man,vault",,
Spin Out,Spin Out,Gottlieb 1975,,,SpinOut_75VPX.txt
Spin Wheel,Spin Wheel,Gottlieb 1968,"Spin,Wheel,Gottlieb,1968",,SpinWheel_68VPX.txt
Spin-A-Card,Spin A Card,Gottlieb 1969,"Spin,Card,Gottlieb,1969",,SpinACard_69VPX.txt
Spinning Wheel,Spinning Wheel,Automaticos 1970,"Spinning,Wheel,Automaticos,1970",,spinningwheel.txt
Spirit,Spirit,Gottlieb 1982,,76,
Spirit of 76,Spirit of 76,Gottlieb 1975,,,SpiritOf76_75VPX.txt
Split Second,Split Second,Stern 1981,,,
SpongeBob Bikini Bottom,SpongeBob's Bikini Bottom Pinball,Original 2020,SpongeBob,,
Spot A Card,Spot A Card,Gottlieb 1960,"Spot,A,Card,Gottlieb,1960",,SpotACard_60VPX.txt
Spot Pool,Spot Pool,Gottlieb 1976,"Spot,Pool,Gottlieb,1976",,
Spring Break,Spring Break,Gottlieb 1987,,,
Spy Hunter,Spy Hunter,Bally 1984,,,
Stampede,Stampede,Stern 1977,"Stampede,Stern,1977",,Stampede.txt
Star Action,Star Action,Williams 1973,"Star,Action,Williams,1973",,
Star Gazer,Star Gazer,Stern 1980,,,
Star God,Star God,Zaccaria 1980,,,
Star Light,Star Light,Williams 1984,,,
Star Mission,Star Mission,Durham 1977,"Star,Mission,Durham,1977",,
Star Pool,Star Pool,Williams 1974,"Star,Pool,Williams,1974",,StarPool_74VPX.txt
Star Race,Star Race,Gottlieb 1980,,,
Star Ship,Star Ship,Bally 1976,"star,ship,bally",,starship.txt
Star Tours,Star Tours,Original 2024,,,
Star Trek,Star Trek,Bally 1979,,"stern,generation,limited,data",
Star Trek - 25th Anniversary,Star Trek - 25th Anniversary,Data East 1991,"star,trek,25th,anniversary","stern,generation,limited,bally",
Star Trek - Limited Edition,Star Trek - Limited Edition,Stern 2013,"star,trek,limited,edition,stern","east,generation,jp",
Star Trek - Limited Edition,Star Trek - Limited Edition,Stern 2013,"star,trek,le,stern","east,generation,jp",
Star Trek - The Mirror Universe,Star Trek - The Mirror Universe,Original 2014,"star,trek,mirror,2014",,
Star Trek - The Next Generation,Star Trek - The Next Generation,Williams 1993,"star,trek,generation",sttng,
Star Trek - The Next Generation,Star Trek - The Next Generation,Williams 1993,sttng,,
Star Trek LE,JP's Star Trek LE,Stern 2013,"JP,Star,Trek,LE,Stern,2013",,
Star Wars,Star Wars,Data East 1992,,"sonic,episode,redux,trilogy,bountyhunter",
Star Wars,Star Wars,Sonic 1987,,"east,episode,redux,trilogy,bountyhunter",
Star Wars Bountyhunter,StarWars Bountyhunter,Original 2021,,,BountyHunter.txt
Star Wars Episode 1,Star Wars: Episode 1,Williams 1999,"star,wars,episode",,
Star Wars Redux,Star Wars Redux,Original 2019,,,
Star Wars Trilogy,Star Wars Trilogy,Sega 1997,,,
Star Wars Battle for Endor,Star Wars: Battle for Endor,Original 2019,"star,wars,endor",,
Star-Jet,Star-Jet,Bally 1963,"star,jet",,
Stardust,Stardust,Williams 1971,"Stardust,Williams,1971",,Stardust.txt
Stargate,Stargate,Gottlieb 1995,,,
Stars,Stars,Stern 1978,"Stars,Stern,1978",,
Starship Troopers,Starship Troopers,Sega 1997,,,
Stellar Airship,Stellar Airship,Geiger 1979,"Stellar,Airship,Geiger,1979",,
Stellar Wars,Stellar Wars,Williams 1979,,,
Stephen King The Running Man,Stephen King's The Running Man,Original 2019,,,
Steve Miller Band,Steve Miller Band,Original 2025,,,
Still Crazy,Still Crazy,Williams 1984,,,
Stingray,Stingray,Stern 1977,"Stingray,Stern,1977",,
Stock Car,Stock Car,Gottlieb 1970,"Stock,Car,Gottlieb,1970",,
Straight Flush,Straight Flush,Williams 1970,"Straight,Flush,Williams,1970",,WilliamsStraightFlush.txt
Strange Science,Strange Science,Bally 1986,,,
