name,display,manufactor,needed,forbidden,highscore
Black Belt,Black Belt,Bally 1986,,,
Black Gold,Black Gold,Williams 1975,"Black,Gold,Williams,1975",,BlackGold_75VPX.txt
Black Hole,Black Hole,Gottlieb 1981,"black,hole,gottlieb",,
Black Jack,Black Jack,Bally 1978,"Black,Jack,Bally,1978",,
Black Knight,Black Knight,Williams 1980,,"2000,sword",
Black Knight 2000,Black Knight 2000,Williams 1989,,,
Black Knight Sword Of Rage,Black Knight: Sword Of Rage<br>Limited Edition,Stern 2019,,,
Black Magic 4,Black Magic 4,Recel 1980,,,
Black Pyramid,Black Pyramid,Bally 1984,,,
Black Rose,Black Rose,Bally 1992,,,
Blackout,Blackout,Williams 1980,,,
Blackwater 100,Blackwater 100,Bally 1988,,,
Blade Runner 2049,Blade Runner 2049,Original 2020,,,
Blaze and the Monster Machines,Blaze and the Monster Machines,Original 2021,"Blaze,Monster,Machines,Original,2021",,
Blizzard of Ozz,The Blizzard of Ozz,Original 2025,"Blizzard,Ozz",,
Blood Machines,Blood Machines,Original 2022,,,
Blue Chip,Blue Chip,Williams 1976,"Blue,Chip,Williams,1976",,BlueChip_76VPX.txt
Blue Note,Blue Note,Gottlieb 1978,"Blue,Note,Gottlieb,1978",,BlueNote_79VPX.txt
Blues,Blues,Original Blues Brothers,,,
BMX Radical Rick,BMX Radical Rick,Bally 1983,,,
Bobby Orr's Power Play,Bobby Orr's Power Play,Bally 1977,"Bobby,Orr",,
Bon Voyage,Bon Voyage,Bally 1974,,,
Bone Busters Inc.,BoneBusters Inc.,Gottlieb 1989,"Bone,Busters",,
Boomerang,Boomerang,Bally 1974,"Boomerang,Bally,1974",,Boomerang_1974_v2.txt
Bounty Hunter,Bounty Hunter,Gottlieb 1985,"bounty,hunter","star,wars",
Bourne Identity,The Bourne Identity: Treadstone Edition,Original 2024,,,
Bow And Arrow,Bow And Arrow,Bally 1975,"Bow,Arrow",,BowAndArrowEM_74VPX.txt
Bram Stoker's Dracula,Bram Stoker's Dracula,Williams 1993,"Bram,Stoker,Dracula",,
Brave Team,Brave Team,Inder 1985,"Brave,Team,Inder,1985",,
Break,Break,Video Dens 1986,"Video,Dens",,
Breaking Bad,Breaking Bad,Original 2022,,,
Breakshot,Breakshot,Capcom 1996,,,
Bristol Hills,Bristol Hills,Gottlieb 1971,"Bristol,Hills,Gottlieb,1971",,
Bronco,Bronco,Gottlieb 1977,"Bronco,Gottlieb,1977",,Bronco_77VPX.txt
Bubba the Redneck Werewolf,Bubba the Redneck Werewolf,Original 2017,,,
Buccaneer,Buccaneer,Gottlieb 1976,,,Buccaneer_76VPX.txt
Buck Rogers,Buck Rogers,Gottlieb 1980,,,
Buckaroo,Buckaroo,Gottlieb 1965,,,Buckaroo_65VPX.txt
Bud Spencer Terence Hill,Bud Spencer & Terence Hill,Original 2024,,,
Bugs Bunny's Birthday Ball,Bugs Bunny's Birthday Ball,Bally 1991,"bugs,bunny,birthday",,
Bumper,Bumper,Bill Port 1977,"Bumper,Bill,Port,1977",,bumper.txt
Bumper Pool,Bumper Pool,Gottlieb 1969,"Bumper,Pool,Gottlieb,1969",,
Bushido,Bushido,Inder 1993,,,
Cabaret,Cabaret,Williams 1968,"Cabaret,Williams,1968",,
Cactus Canyon,Cactus Canyon,Bally 1998,,continued,
Cactus Canyon Continued,Cactus Canyon Continued,Original 2019,continued,,
Cactus Jack's,Cactus Jack's,Gottlieb 1991,"cactus,jack",,
Caddie,Caddie,Playmatic 1975,"Caddie,Playmatic,1975",,Caddie_70VPX.txt
Canada Dry,Canada Dry,Gottlieb 1976,,,CanadaDry_76VPX.txt
Canasta 86,Canasta 86,Inder 1986,,,
Cannes,Cannes,Segasa 1977,"Cannes,Segasa",,
Cannon Fodder,Cannon Fodder,Original 2018,,,
Capersville,Capersville,Bally 1966,"Capersville,Bally,1966",,Capersville_1966_v2.txt
Capt. Card,Capt. Card,Gottlieb 1974,"Capt,Card,Gottlieb,1974",,CaptCard_73_2VPX.txt
Capt. Fantastic and The Brown Dirt Cowboy,Capt. Fantastic and The Brown Dirt Cowboy,Bally 1975,"Capt,Fantastic,Brown,Dirt,Cowboy",,captfantastic.txt
Captain Fantastic,Captain Fantastic,Bally 1975,,cowboy,
Captain Spaulding,Captain Spaulding's<br>Museum Of Monsters and Madmen,Original 2025,,,
Car Hop,Car Hop,Gottlieb 1991,,,
Card Trix,Card Trix,Gottlieb 1970,"Card,Trix,Gottlieb,1970",,
Card Whiz,Card Whiz,Gottlieb 1976,"Card,Whiz,Gottlieb,1976",,
Carnival Pinball,VooDoo's Carnival Pinball,Original 2022,,,
Carnival Queen,Carnival Queen,Bally 1958,"Carnival,Queen,Bally,1958",,
Cartoons,Cartoons,Original 2017,,,
Catacomb,Catacomb,Stern 1981,,,
Cavalcade,Cavalcade,Stoner Manufacturing Company 1935,"Cavalcade,Stoner,1935",,
Cavaleiro Negro,Cavaleiro Negro,Taito 1981,,,
Caveman,Caveman,Gottlieb 1982,,,
Cenobite,Cenobite,Original 2023,,,
Centaur,Centaur,Bally 1981,,,
Centigrade 37,Centigrade 37,Gottlieb 1977,centigrade,,Centigrade37.txt
Central Park,Central Park,Gottlieb 1966,"Central,Park,Gottlieb,1966",,
Cerberus ,Cerberus ,Playmatic 1983,,,
Champ,Champ,Bally 1974,"Champ,Bally,1974",,
Champion Pub,Champion Pub,Williams 1998,,bally,
Champion Pub,Champion Pub,Bally 1998,,williams,
Champions League,Champions League,Original 2017,,,
Chance,Chance,Playmatic 1974,"Chance,Playmatic,1974",,chance.txt
Chance,Chance,Playmatic 1978,"Chance,Playmatic,1978",,
Charlie Angels,Charlie's Angels,Gottlieb 1978,"charlie,angels",,
Charlie Brown Christmas,A Charlie Brown Christmas,Original 2023,,,bumper.txt
Check,Check,Petaco 1975,"Check,Petaco,1975",mate,
Check Mate,Check Mate,Taito do Brasil 1977,"Check,Mate,Taito,1977",,
Check Mate,Check Mate,Recel 1975,"Check,Mate,Recel,1975",,
Checkpoint,Checkpoint,Data East 1991,"check,point",,
Cheech & Chong - Road-Trip'pin,Cheech & Chong Road-Trip'pin,Bally 2021,"cheech,chong",,
Cheetah,Cheetah,Stern 1980,,,
Chicago Cubs Triple Play,Chicago Cubs Triple Play,Gottlieb 1985,,,
Children Of The Corn,Children Of The Corn,Original 2019,"Children,Corn",,
